epoch,acc,loss,val_acc,val_loss
0,0.9399236344296,0.19867178693194723,0.7142476933995742,1.5929030866551857
1,0.9727560667766871,0.0882689351585004,0.7375798438608943,1.7155997827596239
2,0.9811546918784184,0.06411048600236396,0.7492015613910575,1.72969282589287
3,0.9853143133846142,0.05210374724469001,0.7408623136976579,1.9256044705553712
4,0.9878307256321561,0.044638405536556396,0.7331884315117104,2.1401101867301486
5,0.9895771316080398,0.03917311143324678,0.7449432221433641,2.0882204335957577
6,0.9905852841481905,0.03480744338027516,0.6997870830376153,2.438955941168106
7,0.9915299310174371,0.03234120908641611,0.7432576295244855,2.3076539086144896
8,0.9922046787803736,0.029605350275241065,0.7310149041873669,2.527747275814086
9,0.9925222071396251,0.027659383557139545,0.7335876508161817,2.5423590567959717
10,0.9933557190826605,0.025728756509915258,0.7412171753016323,2.508342866126826
11,0.9936811856508935,0.02440291472944725,0.7371362668559261,2.5540842586920736
12,0.9940542814730141,0.023054028391637664,0.743834279630944,2.5484402382136913
13,0.9943162423693966,0.022205846512569873,0.7327448545067423,2.5726086031976028
14,0.9945146975939289,0.021229371744223954,0.731902058197303,2.7474887045331675
15,0.9947766584907846,0.020722715892833046,0.738999290276792,2.629210960281242
16,0.9949671755058623,0.019530166421129452,0.7426366217175302,2.6745351798319494
17,0.9951973835663198,0.01873054974585008,0.7398864442867282,2.6572796741726554
18,0.995340271327983,0.01854444500116198,0.7374911284599006,2.6808001427383097
19,0.995641923269272,0.017565306308563358,0.7332771469127041,2.6793996349897173
20,0.9955387265525152,0.017250552882057128,0.7376242015613911,2.6840503141759897
21,0.995586355806403,0.017076391664560542,0.7509315117104329,2.4525644685716137
22,0.9958006874488978,0.016245015250348965,0.7162881476224272,2.759047026960794
23,0.9958483167027855,0.015975019054179248,0.743834279630944,2.703741033801464
24,0.9959356370015797,0.015885264217839146,0.744277856635912,2.665590678994075
25,0.9959753280464861,0.015316472459155139,0.7427253371185237,2.776401624051792
26,0.9959832662554674,0.015401539376878012,0.7460521646557843,2.6973694037088185
27,0.9960785247632429,0.014963677195708241,0.7472054648687012,2.6493540569304406
28,0.9959912044644488,0.014870265265740045,0.7409066713981547,2.6225385876561496
29,0.9963087328237004,0.014245012321864571,0.7447214336408801,2.6329495831107823
30,0.9960547101362991,0.014060471156551357,0.750221788502484,2.703977702567559
31,0.9961817214799997,0.013960351616248133,0.7480482611781405,2.8243103001750556
32,0.9965627555111016,0.013292116862318248,0.7428140525195174,2.7504858449471596
33,0.9963881149135132,0.013553837675961708,0.7493346344925479,2.6860229706112757
34,0.9964674970033262,0.012862479805584135,0.7506210078069553,2.580571422748654
35,0.9966421376009145,0.013160340128914804,0.7515081618168914,2.525861073187516
36,0.9964119295404571,0.012955495562659616,0.7483144073811213,2.6795816685689773
37,0.9965230644661951,0.01267342242559054,0.7536373314407381,2.500852768136898
38,0.9965865701380454,0.012697850226757698,0.748403122782115,2.6884540104967556
39,0.9966024465564812,0.012440130149953202,0.7592707594038325,2.5776081159658006
40,0.9965786319290642,0.01258355975586179,0.7502661462029808,2.639090916021569
41,0.9968326546164654,0.012014414671924167,0.7473385379701917,2.7992957321949423
42,0.9967612107356338,0.012077410779251388,0.7531493967352733,2.518510237325583
43,0.9966421376009145,0.012211185524906422,0.7500887154009936,2.66458623979513
44,0.9968723456613718,0.011740964199334129,0.7475159687721789,2.7051785533693855
45,0.9968882220793345,0.011475351479529721,0.7492902767920511,2.8198440227633763
46,0.9967850253625777,0.011802780747072953,0.7536373314407381,2.53206277003603
47,0.9970708008859042,0.011241496079346016,0.7585166784953868,2.6563991652134042
48,0.996904098497297,0.011148513368366073,0.7590489709013485,2.6039745542620665
49,0.9968009017810134,0.011473420736264539,0.7432576295244855,2.7567373226516376
50,0.9968882220793345,0.011134009303901144,0.7532381121362669,2.637155789276486
51,0.9969437895422035,0.010953546363963122,0.761222498225692,2.4454250241146602
52,0.996848531034428,0.011180011086205768,0.7635734563520227,2.656275982125758
53,0.996959665960166,0.011013435116679704,0.7496451383960255,2.72438217499647
54,0.9970469862589603,0.010632139269708159,0.7476490418736693,2.774304829310491
55,0.9971739976026609,0.010850439947340043,0.755943931866572,2.7390231859438634
56,0.9971819358116422,0.010637582863789541,0.7394872249822569,2.8576141103435866
57,0.9973089471553428,0.010390699741865742,0.7553229240596168,2.625703669465798
58,0.9970708008859042,0.010358031515687798,0.756653655074521,2.606825671693465
59,0.9970628626769228,0.010550044782107732,0.7464513839602555,2.857694384940048
60,0.9971343065577545,0.010173449702094254,0.7501774308019872,2.729402137191859
61,0.997118430140265,0.010101397333656857,0.7550124201561391,2.576430237572442
62,0.9972851325283989,0.010159500194179622,0.7667228530872959,2.5584080473085598
63,0.9972692561104364,0.010043409226095432,0.7484918381831086,2.828164992051568
64,0.9973327617822867,0.010090138016936543,0.7465844570617459,2.7184057965864095
65,0.99722956506553,0.00992128524547871,0.7623757984386089,2.593015459262369
66,0.9974359584990434,0.009564312427854113,0.7621540099361249,2.816448513394641
67,0.9971978122300779,0.009977737530481647,0.7583392476933996,2.700570213109403
68,0.9974438967080247,0.009546337069074136,0.7630855216465579,2.6513353647535958
